position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1,-0.3,1,1,0,0,0
1,-0.298,1,1,0,0,0
1,-0.296,1,1,0,0,0
1,-0.294,1,1,0,0,0
1,-0.292,1,1,0,0,0
1,-0.29,1,1,0,0,0
1,-0.288,1,1,0,0,0
1,-0.286,1,1,0,0,0
1,-0.284,1,1,0,0,0
1,-0.282,1,1,0,0,0
1,-0.28,1,1,0,0,0
1,-0.278,1,1,0,0,0
1,-0.276,1,1,0,0,0
1,-0.274,1,1,0,0,0
1,-0.272,1,1,0,0,0
1,-0.27,1,1,0,0,0
1,-0.268,1,1,0,0,0
1,-0.266,1,1,0,0,0
1,-0.264,1,1,0,0,0
1,-0.262,1,1,0,0,0
1,-0.26,1,1,0,0,0
1,-0.258,1,1,0,0,0
1,-0.256,1,1,0,0,0
1,-0.254,1,1,0,0,0
1,-0.252,1,1,0,0,0
1,-0.25,1,1,0,0,0
1,-0.248,1,1,0,0,0
1,-0.246,1,1,0,0,0
1,-0.244,1,1,0,0,0
1,-0.242,1,1,0,0,0
1,-0.24,1,1,0,0,0
1,-0.238,1,1,0,0,0
1,-0.236,1,1,0,0,0
1,-0.234,1,1,0,0,0
1,-0.232,1,1,0,0,0
1,-0.23,1,1,0,0,0
1,-0.228,1,1,0,0,0
1,-0.226,1,1,0,0,0
1,-0.224,1,1,0,0,0
1,-0.222,1,1,0,0,0
1,-0.22,1,1,0,0,0
1,-0.218,1,1,0,0,0
1,-0.216,1,1,0,0,0
1,-0.214,1,1,0,0,0
1,-0.212,1,1,0,0,0
1,-0.21,1,1,0,0,0
1,-0.208,1,1,0,0,0
1,-0.206,1,1,0,0,0
1,-0.204,1,1,0,0,0
1,-0.202,1,1,0,0,0
1,-0.2,1,1,0,0,0
1,-0.198,1,1,0,0,0
1,-0.196,1,1,0,0,0
1,-0.194,1,1,0,0,0
1,-0.192,1,1,0,0,0
1,-0.19,1,1,0,0,0
1,-0.188,1,1,0,0,0
1,-0.186,1,1,0,0,0
1,-0.184,1,1,0,0,0
1,-0.182,1,1,0,0,0
1,-0.18,1,1,0,0,0
1,-0.178,1,1,0,0,0
1,-0.176,1,1,0,0,0
1,-0.174,1,1,0,0,0
1,-0.172,1,1,0,0,0
1,-0.17,1,1,0,0,0
1,-0.168,1,1,0,0,0
1,-0.166,1,1,0,0,0
1,-0.164,1,1,0,0,0
1,-0.162,1,1,0,0,0
1,-0.16,1,1,0,0,0
1,-0.158,1,1,0,0,0
1,-0.156,1,1,0,0,0
1,-0.154,1,1,0,0,0
1,-0.152,1,1,0,0,0
1,-0.15,1,1,0,0,0
1,-0.148,1,1,0,0,0
1,-0.146,1,1,0,0,0
1,-0.144,1,1,0,0,0
1,-0.142,1,1,0,0,0
